authorId,decision,paperId,reviewText
113398129,yes,21042565ec941f4fa31ac5a0af85a1a84ff21f1b,The paper covers application domain but lacks depth in some areas.
2093481779,no,21042565ec941f4fa31ac5a0af85a1a84ff21f1b,The paper covers Graph but lacks depth in some areas.
7790877,no,21042565ec941f4fa31ac5a0af85a1a84ff21f1b,"Some parts of the paper on application domain are worth considering, but overall unclear."
1492120545,yes,21042565ec941f4fa31ac5a0af85a1a84ff21f1b,This paper presents promising ideas about Knowledge Graph.
2171106811,no,9b3e8d202488dc29e601fc471a25a2af9002659e,Paper is lacking in depth on information. Needs better analysis.
2116124684,no,9b3e8d202488dc29e601fc471a25a2af9002659e,"Interesting research, especially the section on model."
144281339,no,9b3e8d202488dc29e601fc471a25a2af9002659e,"Some parts of the paper on construction management are worth considering, but overall unclear."
144525882,yes,09f54c64b39f5f7e7570f9f4ce3e3af544401e14,Great insights into graph. Could be a game changer.
2184079980,yes,09f54c64b39f5f7e7570f9f4ce3e3af544401e14,This paper presents promising ideas about graph database.
101108644,no,09f54c64b39f5f7e7570f9f4ce3e3af544401e14,The paper covers graph but lacks depth in some areas.
2140474907,yes,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358,Great insights into general research topic. Could be a game changer.
2344391699,yes,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358,The paper covers general research topic but lacks depth in some areas.
2424392,yes,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358,Significant improvements are required for the section on general research topic.
144525882,no,a604aa1f2a2ca1a6a0b09013e71b83d36cc0f358,"Some parts of the paper on general research topic are worth considering, but overall unclear."
70209653,no,0601e9e434b30320c316c76228b97c093fa98ad6,Not convinced by the arguments around graph databases. Needs major revisions.
2517099,no,0601e9e434b30320c316c76228b97c093fa98ad6,Paper is lacking in depth on time-version support. Needs better analysis.
2280834096,yes,0601e9e434b30320c316c76228b97c093fa98ad6,Not convinced by the arguments around found applications. Needs major revisions.
2152692124,yes,0601e9e434b30320c316c76228b97c093fa98ad6,Significant improvements are required for the section on time-version support.
2321412875,no,91d6e8ba5dd90b02fe3bd870b19da13a6167af53,"Some parts of the paper on general research topic are worth considering, but overall unclear."
1492120545,no,91d6e8ba5dd90b02fe3bd870b19da13a6167af53,The paper covers general research topic but lacks depth in some areas.
2113918898,no,91d6e8ba5dd90b02fe3bd870b19da13a6167af53,Significant improvements are required for the section on general research topic.
